,9 Point Prediction
2015-02-18,0.17887452
2015-02-19,0.17384295
2015-02-20,0.172224
2015-02-21,0.17510846
2015-02-22,0.17510846
2015-02-23,0.17496006
2015-02-24,0.17204355
2015-02-25,0.1773619
2015-02-26,0.17649475
2015-02-27,0.17636837
2015-02-28,0.17635562
2015-03-01,0.17636521
2015-03-02,0.17621416
2015-03-03,0.17582862
2015-03-04,0.17644268
2015-03-05,0.17917533
2015-03-06,0.17720495
2015-03-07,0.17797588
2015-03-08,0.17827867
2015-03-09,0.1783149
2015-03-10,0.17868893
2015-03-11,0.17864114
2015-03-12,0.1787981
2015-03-13,0.17639938
2015-03-14,0.17678718
2015-03-15,0.17881824
2015-03-16,0.18214266
2015-03-17,0.17855991
2015-03-18,0.17670651
2015-03-19,0.17495744
2015-03-20,0.17371239
2015-03-21,0.17294309
2015-03-22,0.17602633
2015-03-23,0.17560628
2015-03-24,0.1754669
2015-03-25,0.17597829
2015-03-26,0.17494527
2015-03-27,0.1758049
2015-03-28,0.17549744
2015-03-29,0.17520021
2015-03-30,0.1745862
2015-03-31,0.17506322
2015-04-01,0.17400609
2015-04-02,0.17246102
2015-04-03,0.17243312
2015-04-04,0.17314434
2015-04-05,0.17348833
2015-04-06,0.17308842
2015-04-07,0.17291342
2015-04-08,0.1732156
2015-04-09,0.17283203
2015-04-10,0.17339335
2015-04-11,0.17346568
2015-04-12,0.1734997
2015-04-13,0.17307727
2015-04-14,0.1726774
2015-04-15,0.17298062
2015-04-16,0.17288357
2015-04-17,0.17251231
2015-04-18,0.17151383
2015-04-19,0.17292295
2015-04-20,0.17349543
2015-04-21,0.1735658
2015-04-22,0.17291267
2015-04-23,0.17291267
2015-04-24,0.1735154
2015-04-25,0.17261411
2015-04-26,0.17263423
2015-04-27,0.17231639
2015-04-28,0.1723075
2015-04-29,0.17214437
2015-04-30,0.1713008
2015-05-01,0.1709543
2015-05-02,0.17117505
2015-05-03,0.1713696
2015-05-04,0.17108943
2015-05-05,0.17094983
2015-05-06,0.17094983
2015-05-07,0.17174071
2015-05-08,0.16898313
2015-05-09,0.16979799
2015-05-10,0.16987592
2015-05-11,0.16969694
2015-05-12,0.16969694
2015-05-13,0.16899692
2015-05-14,0.16996276
2015-05-15,0.16927187
2015-05-16,0.16966467
2015-05-17,0.1698574
2015-05-18,0.16927831
2015-05-19,0.16920556
2015-05-20,0.16932951
2015-05-21,0.16894905
2015-05-22,0.16864218
2015-05-23,0.1686192
2015-05-24,0.16865526
2015-05-25,0.16860344
2015-05-26,0.16869369
2015-05-27,0.16860461
2015-05-28,0.16854465
2015-05-29,0.16863015
2015-05-30,0.16870092
2015-05-31,0.1688524
2015-06-01,0.16859107
2015-06-02,0.16847251
2015-06-03,0.16999938
2015-06-04,0.16983368
2015-06-05,0.16967283
2015-06-06,0.17010492
2015-06-07,0.17049563
2015-06-08,0.1702096
2015-06-09,0.17046465
2015-06-10,0.17181562
2015-06-11,0.1735184
2015-06-12,0.17422867
2015-06-13,0.17384356
2015-06-14,0.17379077
2015-06-15,0.17288525
2015-06-16,0.17373784
2015-06-17,0.17344533
2015-06-18,0.1731336
2015-06-19,0.17426144
2015-06-20,0.17351505
2015-06-21,0.17369838
2015-06-22,0.17370223
2015-06-23,0.17279394
2015-06-24,0.17345828
2015-06-25,0.17110933
2015-06-26,0.16823749
2015-06-27,0.16834971
2015-06-28,0.16828792
2015-06-29,0.16830595
2015-06-30,0.16821279
2015-07-01,0.16830595
2015-07-02,
2015-07-03,
2015-07-04,
2015-07-05,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,
2015-07-11,
2015-07-12,
2015-07-13,0.17055956
2015-07-14,0.17137627
2015-07-15,0.17137627
2015-07-16,0.16908258
2015-07-17,0.16989863
2015-07-18,0.16989863
2015-07-19,0.17022504
2015-07-20,0.16986282
2015-07-21,0.16986282
2015-07-22,0.17085184
2015-07-23,0.16986282
2015-07-24,0.1692916
2015-07-25,0.17027085
2015-07-26,0.17012034
2015-07-27,0.16975814
2015-07-28,0.16975178
2015-07-29,0.16990864
2015-07-30,0.17005913
2015-07-31,0.17119403
2015-08-01,0.171187
2015-08-02,0.17111163
2015-08-03,0.1708183
2015-08-04,0.17112666
2015-08-05,0.16891418
2015-08-06,0.1690568
2015-08-07,0.16987284
2015-08-08,0.17101529
2015-08-09,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,0.16860211
2015-08-14,0.17000014
2015-08-15,0.16995174
2015-08-16,0.16995174
2015-08-17,0.17001422
2015-08-18,0.16887175
2015-08-19,0.16906218
2015-08-20,0.16924237
2015-08-21,0.16832198
2015-08-22,0.16840032
2015-08-23,0.16848211
2015-08-24,0.16838548
2015-08-25,0.16839306
2015-08-26,0.16846037
2015-08-27,0.16838141
2015-08-28,0.16811539
2015-08-29,0.1681226
2015-08-30,0.1682731
2015-08-31,0.16792627
2015-09-01,0.16840066
2015-09-02,0.16848017
2015-09-03,0.16841416
2015-09-04,0.1683703
2015-09-05,0.16824831
2015-09-06,0.1682184
2015-09-07,0.16839187
2015-09-08,0.16865747
2015-09-09,0.16843769
2015-09-10,0.16915192
2015-09-11,0.16887191
2015-09-12,0.16843827
2015-09-13,0.16920817
2015-09-14,0.16872302
2015-09-15,0.1691982
2015-09-16,0.16905245
2015-09-17,0.16893286
2015-09-18,0.1691928
2015-09-19,0.16901158
2015-09-20,0.16848622
2015-09-21,0.16801442
2015-09-22,0.16791911
2015-09-23,0.16838117
2015-09-24,0.1679614
2015-09-25,0.16799556
2015-09-26,0.16792753
